Distribution,Skewness,Sample Size,Upper Tail,Lower Tail,Sampling Skewness,Sampling Kurtosis,Population Mean,Population SD
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,250,0.0184716,0.0301826,-0.21818681858158942,0.11611653237097164,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,300,0.0190556,0.0297614,-0.1987196560117886,0.0950836616993267,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,350,0.0194864,0.0295396,-0.18427422288364817,0.08271852416538339,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,400,0.0198663,0.0292424,-0.17326216563277883,0.07340333654400233,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,450,0.0201889,0.0290866,-0.16362314649280302,0.06675191465221841,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,500,0.0204217,0.0289003,-0.15482061745021122,0.0592120277386754,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,5,0.0002823,0.0236643,-3.7854379053835236,56.122969038708554,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,10,0.0003749,0.0340199,-1.6628472378774066,5.738712556449874,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,20,0.0014218,0.0378122,-1.1411551279852392,2.5252307402254672,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,30,0.0028285,0.038406,-0.943665820918279,1.710836345310569,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,40,0.004117,0.0383023,-0.8329971011685785,1.3356519339015884,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,50,0.005274,0.0380812,-0.7537988305761174,1.0890705911897305,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,60,0.0063144,0.0377275,-0.696022695334846,0.9319049691980648,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,70,0.0071759,0.0373964,-0.6528610892680033,0.8213780468920318,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,80,0.0079403,0.0370621,-0.6148731132700198,0.7300762518251429,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,90,0.008586,0.03679,-0.5853204020020515,0.6603459181717906,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,100,0.0092077,0.0364445,-0.5585678776947183,0.6033561852147935,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,125,0.0104762,0.0358296,-0.5071772840961001,0.4983028133830594,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,150,0.0114799,0.035213,-0.4683827628257721,0.42899964240088284,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,175,0.0122746,0.0347778,-0.43632396805191254,0.3705712403124166,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,200,0.0129726,0.0343568,-0.41142438705208856,0.3288260479159151,1.3247847587288655,1.1511568928507236
