distribution,pop_skewness,sample_size,mean_sampling_skewness,median_sampling_skewness,lower_quantile,upper_quantile
"Log-normal (μ = 0, σ = 0.55)",1.992956625406344,200,1.804941750548019,1.674821911504683,1.0026162596535546,3.4148203828813886
"Gamma (α = 0.79, θ = 1)",2.250175801852048,200,2.1211561105657175,2.0319719084506165,1.3873307784962723,3.377515081231896
"Log-normal (μ = 0, σ = 0.6)",2.2600838884867054,200,2.0029599953794968,1.8426201719103679,1.1129293954527155,3.896123336478116
"Gamma (α = 0.64, θ = 1)",2.5,200,2.342224032562304,2.2407105426473732,1.5402673343608333,3.765881968040281
"Log-normal (μ = 0, σ = 0.65)",2.5565396521582318,200,2.2100246214974777,2.023692076012635,1.221121810042618,4.3789142916504264
"Gamma (α = 0.53, θ = 1)",2.7472112789737806,200,2.5487291902156715,2.4325775396183658,1.6826988584958125,4.11761885756888
"Log-normal (μ = 0, σ = 0.7)",2.8883566031310934,200,2.4230803772633642,2.2027966150298868,1.3253915428135123,4.8799247184492085
"Gamma (α = 0.44, θ = 1)",3.0151134457776365,200,2.7766100539911185,2.646137822871853,1.8311542761844573,4.5109411790031
"Log-normal (μ = 0, σ = 0.75)",3.262912728207002,200,2.6414729848530607,2.3851168357215222,1.4305581214473855,5.4462361333241835
"Gamma (α = 16, θ = 1)",0.5,250,0.4884570603241294,0.47847477421112894,0.17120462544290588,0.8669589063520549
"Log-normal (μ = 0, σ = 0.25)",0.7782516357974832,250,0.7571387399504983,0.7320131414439428,0.37435411342276537,1.2872624956480054
"Gamma (α = 4, θ = 1)",1,250,0.9723185801535065,0.9462871302492939,0.582512736464614,1.5172281860180736
"Log-normal (μ = 0, σ = 0.35)",1.1300370516687537,250,1.086719825825033,1.039857134435218,0.6140060071286076,1.8394710093680342
"Gamma (α = 2.56, θ = 1)",1.25,250,1.2120711518255005,1.1778932895236043,0.7689950357010413,1.8686062366583107
"Log-normal (μ = 0, σ = 0.4)",1.3219144053987633,250,1.2601040735841136,1.199897043208281,0.7294145803881871,2.161496147334458
"Gamma (α = 2, θ = 1)",1.4142135623730951,250,1.3686501916245795,1.327223405731024,0.8901089900991824,2.1016882034777895
"Gamma (α = 1.78, θ = 1)",1.499063377991723,250,1.4502124462302506,1.4044181907025468,0.9507840530223881,2.2280745638241104
"Log-normal (μ = 0, σ = 0.45)",1.527659506242575,250,1.4432837987926388,1.3642973692194125,0.8446654727004419,2.5179872269500034
"Gamma (α = 1.31, θ = 1)",1.7474081133220758,250,1.6817672498725733,1.624860846797484,1.12088643336519,2.578500854149154
"Log-normal (μ = 0, σ = 0.5)",1.7501896550697178,250,1.6329541863222792,1.532428960178534,0.9559073435753042,2.922576428997697
"Gamma (α = 1, θ = 1)",2,250,1.9150350673812528,1.8453940584882609,1.2927159771053245,2.952702824680222
"Log-normal (μ = 0, σ = 0.55)",1.992956625406344,250,1.834393749277379,1.7096087453798177,1.0729987092754967,3.376913917977631
"Gamma (α = 0.79, θ = 1)",2.250175801852048,250,2.1420716835427567,2.0599668640379054,1.4529469305740923,3.3192269881478946
"Log-normal (μ = 0, σ = 0.6)",2.2600838884867054,250,2.0424559939511795,1.8878345064540285,1.185484528048303,3.8753800420265985
"Gamma (α = 0.64, θ = 1)",2.5,250,2.3675861472991255,2.2731438664251646,1.6120784225328997,3.693910487497145
"Log-normal (μ = 0, σ = 0.65)",2.5565396521582318,250,2.258389276669054,2.072819466805451,1.2997373541340598,4.388879168002893
"Gamma (α = 0.53, θ = 1)",2.7472112789737806,250,2.5829749248346956,2.4739653528072503,1.7589484629522054,4.0654860698459965
"Log-normal (μ = 0, σ = 0.7)",2.8883566031310934,250,2.480969578670151,2.2623680228637078,1.4068519438232678,4.942183623169461
"Gamma (α = 0.44, θ = 1)",3.0151134457776365,250,2.8155583443112886,2.6933238897335867,1.911808560390022,4.475074723802944
"Log-normal (μ = 0, σ = 0.75)",3.262912728207002,250,2.7142049106357993,2.4590517372359555,1.5193922149115375,5.50890356131949
"Gamma (α = 16, θ = 1)",0.5,300,0.49072921186530694,0.4817318997840848,0.19732548473967232,0.8373437415625723
"Log-normal (μ = 0, σ = 0.25)",0.7782516357974832,300,0.7588015241961187,0.7374554886274847,0.40232903685156085,1.2426430523783638
"Gamma (α = 4, θ = 1)",1,300,0.9764840945702626,0.9535038652244539,0.6106923421544573,1.4779634399403676
"Log-normal (μ = 0, σ = 0.35)",1.1300370516687537,300,1.0935182719999088,1.0520233636404284,0.6472712818227577,1.7942714790423338
"Gamma (α = 2.56, θ = 1)",1.25,300,1.2187664520793366,1.1875902818004245,0.8057461378069612,1.8173598313437507
"Log-normal (μ = 0, σ = 0.4)",1.3219144053987633,300,1.2715150093655068,1.2134269757471678,0.7641528405091512,2.1235097432170646
"Gamma (α = 2, θ = 1)",1.4142135623730951,300,1.3764820572924812,1.3380217030535064,0.9245298826224304,2.0531982122988692
"Gamma (α = 1.78, θ = 1)",1.499063377991723,300,1.4568140505368212,1.4161211945236407,0.9870154317176587,2.169149926494302
"Log-normal (μ = 0, σ = 0.45)",1.527659506242575,300,1.4575326691912094,1.383889169731904,0.8836444944607343,2.480594433695489
"Gamma (α = 1.31, θ = 1)",1.7474081133220758,300,1.6918247805276765,1.640945430258411,1.164646652391746,2.5304052435345605
"Log-normal (μ = 0, σ = 0.5)",1.7501896550697178,300,1.650637410100996,1.555748465067874,1.0018874566141496,2.890153763792681
"Gamma (α = 1, θ = 1)",2,300,1.9283446783866416,1.8633041413214584,1.3369636024398124,2.8985531761428147
"Log-normal (μ = 0, σ = 0.55)",1.992956625406344,300,1.8547871431244167,1.733906076668969,1.1218616427155617,3.3266595407637953
"Gamma (α = 0.79, θ = 1)",2.250175801852048,300,2.157975688202897,2.082049491309844,1.5017953773394805,3.267330750300636
"Log-normal (μ = 0, σ = 0.6)",2.2600838884867054,300,2.068395273839972,1.919845637946339,1.243348156023959,3.831323624242459
"Gamma (α = 0.64, θ = 1)",2.5,300,2.3848886112233374,2.296022957781112,1.6601558549923783,3.6282512953711694
"Log-normal (μ = 0, σ = 0.65)",2.5565396521582318,300,2.294237640687601,2.1113352720055554,1.3571585720575372,4.361881435039963
"Gamma (α = 0.53, θ = 1)",2.7472112789737806,300,2.6065287175092133,2.5048275702452942,1.8154131565636713,4.016923851534935
"Log-normal (μ = 0, σ = 0.7)",2.8883566031310934,300,2.5203531906244976,2.303948899996123,1.4754629829139154,4.926731034840342
"Gamma (α = 0.44, θ = 1)",3.0151134457776365,300,2.8442983710376466,2.7262106047407433,1.9786329960893727,4.422979222132651
"Log-normal (μ = 0, σ = 0.75)",3.262912728207002,300,2.774315187565375,2.5178101521569323,1.5944315284779276,5.542391931073582
"Gamma (α = 16, θ = 1)",0.5,350,0.49117757208774554,0.48299588570475993,0.21799504653522855,0.8136838687595815
"Log-normal (μ = 0, σ = 0.25)",0.7782516357974832,350,0.76168695886268,0.7422210585357181,0.42617502890277476,1.2118120971351583
"Gamma (α = 4, θ = 1)",1,350,0.9802861878957924,0.9594361005173423,0.634969754916021,1.4472034150974376
"Log-normal (μ = 0, σ = 0.35)",1.1300370516687537,350,1.0981235685395871,1.05893918245411,0.6751222718996067,1.7541831633606955
"Gamma (α = 2.56, θ = 1)",1.25,350,1.2245266118840992,1.1947767791592896,0.8319573532336222,1.7891516500127622
